epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7612.04,0.61994,2.65841,0.22454,0.39116,1.06551,0.97182,0.97783,0.99125,0.898,0.88903,0.84911,0.87617,0.73774,0.53267,1.70863,0.03794,0.2739,0.96023,0.003565,0.003565,0.003565
67,7716.46,0.61899,2.61878,0.22306,0.39008,1.06894,0.97145,0.97808,0.99127,0.89818,0.88964,0.84975,0.87702,0.73904,0.53198,1.70565,0.03776,0.27346,0.95971,0.003466,0.003466,0.003466
68,7820.72,0.6189,2.62895,0.22198,0.39185,1.07006,0.97109,0.97846,0.9913,0.89808,0.8901,0.85064,0.87784,0.73942,0.53145,1.70272,0.03762,0.27304,0.95933,0.003367,0.003367,0.003367
69,7924.81,0.61568,2.58402,0.21852,0.38663,1.06784,0.97115,0.97824,0.99129,0.8987,0.89046,0.85053,0.87814,0.73974,0.53091,1.69969,0.0374,0.27273,0.95896,0.003268,0.003268,0.003268
70,8029.61,0.61443,2.57036,0.21885,0.38369,1.06437,0.97157,0.97795,0.99128,0.89889,0.88991,0.85091,0.87838,0.74075,0.53032,1.69644,0.03722,0.27241,0.95852,0.003169,0.003169,0.003169
71,8133.34,0.60682,2.53204,0.21837,0.38077,1.0575,0.97154,0.97783,0.99128,0.89906,0.88977,0.85103,0.87849,0.74192,0.5298,1.69266,0.03699,0.27215,0.95809,0.00307,0.00307,0.00307
72,8237.77,0.60669,2.52092,0.21808,0.37659,1.06046,0.97176,0.97786,0.99127,0.89937,0.88994,0.85128,0.8789,0.74282,0.52929,1.68958,0.03677,0.27189,0.95771,0.002971,0.002971,0.002971
73,8341.68,0.60342,2.53314,0.21716,0.38237,1.05963,0.97169,0.97808,0.99127,0.89949,0.89059,0.85179,0.87937,0.74309,0.52887,1.68638,0.03659,0.2716,0.95744,0.002872,0.002872,0.002872
74,8446.09,0.60285,2.49921,0.21612,0.37884,1.06222,0.97201,0.97811,0.99129,0.89985,0.89148,0.8523,0.87989,0.74381,0.52846,1.6827,0.03642,0.27125,0.95731,0.002773,0.002773,0.002773
75,8550.38,0.6006,2.4739,0.21449,0.3761,1.0567,0.97253,0.97795,0.99118,0.89992,0.89249,0.85281,0.8801,0.74397,0.52791,1.67933,0.03628,0.27093,0.95689,0.002674,0.002674,0.002674
76,8654.73,0.59646,2.4731,0.21531,0.37558,1.05551,0.97272,0.97783,0.99134,0.90023,0.8928,0.85281,0.88047,0.7448,0.52743,1.67648,0.03613,0.27073,0.95664,0.002575,0.002575,0.002575
77,8759.23,0.59859,2.44672,0.21329,0.37785,1.05731,0.97263,0.97814,0.99136,0.90046,0.89279,0.85324,0.88085,0.74567,0.52667,1.67265,0.036,0.27032,0.95614,0.002476,0.002476,0.002476
78,8863.25,0.59959,2.4464,0.21325,0.3764,1.06064,0.97154,0.97846,0.99125,0.90026,0.89319,0.85365,0.88121,0.74604,0.52611,1.66894,0.03582,0.27006,0.95575,0.002377,0.002377,0.002377
79,40365.4,0.59263,2.45528,0.21183,0.37328,1.05303,0.97142,0.97905,0.99127,0.9008,0.89399,0.85332,0.88124,0.74653,0.52549,1.66539,0.03563,0.26984,0.95536,0.002278,0.002278,0.002278
80,40469.6,0.5876,2.39533,0.21052,0.37196,1.05156,0.97167,0.97891,0.99128,0.90096,0.89473,0.85345,0.88157,0.74682,0.52487,1.66206,0.0355,0.26945,0.95497,0.002179,0.002179,0.002179
81,40574,0.59059,2.39623,0.21022,0.36956,1.05407,0.9724,0.97867,0.99128,0.90109,0.89611,0.85413,0.8823,0.7474,0.52424,1.65901,0.03541,0.2692,0.95446,0.00208,0.00208,0.00208
82,40677.6,0.58717,2.36011,0.20954,0.3685,1.0508,0.97235,0.97897,0.99128,0.90112,0.89619,0.85472,0.88244,0.74759,0.52373,1.65593,0.03524,0.26881,0.95414,0.001981,0.001981,0.001981
83,40783,0.58173,2.35017,0.20858,0.36768,1.04855,0.97288,0.97827,0.99131,0.90109,0.89612,0.85523,0.88276,0.74782,0.52315,1.65284,0.03514,0.26844,0.95375,0.001882,0.001882,0.001882
84,40887.3,0.58388,2.36251,0.20752,0.36806,1.05063,0.97299,0.97788,0.99128,0.90125,0.89597,0.85606,0.88301,0.74832,0.5225,1.64943,0.03509,0.26825,0.95327,0.001783,0.001783,0.001783
85,40991.5,0.57979,2.31609,0.20553,0.36287,1.04758,0.97312,0.97813,0.9913,0.90156,0.89645,0.85612,0.88336,0.74864,0.52194,1.64612,0.03497,0.26804,0.95284,0.001684,0.001684,0.001684
86,41096.9,0.57424,2.27219,0.20549,0.35797,1.04365,0.97359,0.97723,0.99132,0.90185,0.89516,0.85632,0.88354,0.74934,0.52142,1.64276,0.03489,0.26767,0.95244,0.001585,0.001585,0.001585
87,41201.7,0.57911,2.28327,0.20331,0.36046,1.04617,0.97324,0.97797,0.99132,0.90233,0.89608,0.85663,0.88374,0.75057,0.52081,1.63952,0.03482,0.26719,0.95197,0.001486,0.001486,0.001486
88,41306,0.56954,2.24183,0.20534,0.35511,1.04266,0.97306,0.97859,0.99135,0.90213,0.89711,0.85727,0.88411,0.75093,0.52025,1.636,0.03474,0.26677,0.95153,0.001387,0.001387,0.001387
89,41410.5,0.57356,2.27357,0.20378,0.35671,1.04424,0.97396,0.9771,0.99138,0.90288,0.89804,0.85753,0.88521,0.75223,0.51978,1.63287,0.03464,0.26639,0.9512,0.001288,0.001288,0.001288
90,41514.4,0.57069,2.23574,0.2033,0.35944,1.04358,0.97435,0.97774,0.99135,0.9031,0.89771,0.85784,0.88439,0.75302,0.51929,1.62974,0.0345,0.266,0.95079,0.001189,0.001189,0.001189
91,41621,0.4601,1.59496,0.06563,0.26041,0.98137,0.97363,0.97883,0.99139,0.90354,0.89789,0.85836,0.88464,0.75348,0.51832,1.62619,0.03419,0.26554,0.95009,0.00109,0.00109,0.00109
92,41725.4,0.4506,1.55272,0.06098,0.25232,0.97358,0.97388,0.97871,0.99141,0.90401,0.89912,0.85867,0.88799,0.75512,0.51753,1.62199,0.03378,0.26508,0.94953,0.000991,0.000991,0.000991
93,41830,0.44381,1.5378,0.06034,0.24974,0.96931,0.97437,0.9785,0.99147,0.90444,0.90049,0.85917,0.88879,0.75583,0.5166,1.61743,0.03337,0.26469,0.94879,0.000892,0.000892,0.000892
94,41934.2,0.44013,1.49551,0.05871,0.24382,0.96716,0.97338,0.97974,0.99147,0.90505,0.90058,0.85982,0.88985,0.75661,0.51567,1.61234,0.03294,0.26413,0.94823,0.000793,0.000793,0.000793
95,42039.3,0.43386,1.47322,0.05793,0.24277,0.96489,0.97354,0.97977,0.99147,0.90551,0.90039,0.86045,0.89065,0.75786,0.51458,1.60767,0.03248,0.26362,0.94746,0.000694,0.000694,0.000694
96,42143.7,0.43164,1.45751,0.05665,0.2399,0.9611,0.97251,0.97974,0.99144,0.90589,0.90056,0.86096,0.89144,0.75894,0.5137,1.60284,0.03204,0.26287,0.9469,0.000595,0.000595,0.000595
97,42248.7,0.42643,1.43628,0.05577,0.23773,0.95972,0.97394,0.97872,0.99142,0.90628,0.90033,0.86097,0.89202,0.76002,0.51276,1.59826,0.03161,0.26226,0.94634,0.000496,0.000496,0.000496
98,42356.5,0.42163,1.41859,0.05648,0.23422,0.95694,0.97375,0.97867,0.99141,0.90671,0.90119,0.86173,0.89268,0.76081,0.51169,1.59346,0.0312,0.26165,0.94561,0.000397,0.000397,0.000397
99,42469.2,0.41809,1.41053,0.05616,0.23324,0.95541,0.9735,0.97897,0.99141,0.90672,0.9016,0.86177,0.89296,0.76155,0.51069,1.58872,0.0308,0.26108,0.9449,0.000298,0.000298,0.000298
100,42587.5,0.41641,1.37876,0.05391,0.23094,0.95272,0.97271,0.97986,0.99136,0.9072,0.90294,0.86173,0.89328,0.76296,0.50961,1.58385,0.03041,0.26058,0.94414,0.000199,0.000199,0.000199
